lesson_id,match_id,date,category,lesson,rule_added,model_version
001,013,2026-06-15,baseline_accuracy,Wide possession vs pure deep block delivered 13 corners baseline was 10.3,Tier 1 setup is most reliable — always bet when all three conditions met,v1.0
002,014,2026-06-15,market_selection,Belgium 2 Egypt 7 — early goal completely flipped corners battle AH corners destroyed,Never use AH corners when opponent has counter-threat — use total over instead,v2.0
003,015,2026-06-15,game_state,Saudi scored early Uruguay chased wide 18 corners — direct team assumption wrong when game state flips,Underdog scores early = favourite chases wide = corners explode regardless of style,v2.0
004,016,2026-06-15,style_classification,Iran vs NZ only 4-5 corners — two direct teams kept it low despite both needing a win,Style beats urgency every time — direct vs direct = low corners regardless of context,v3.0
005,017,2026-06-16,baseline_accuracy,France vs Senegal 10 corners — baseline 10.6 was accurate tight first half but built across 90 mins,Tier 2 setups deliver when wide attack style confirmed even vs compact mid-block,v3.0
006,018,2026-06-16,style_classification,Iraq vs Norway 7 corners — Haaland central scorer Norway scores through middle not wide,Central possession team scores through middle = low corners even in dominant win,v3.0
007,021,2026-06-18,market_selection,Wissa scored 45+5 from cross — counter-threat was real all match. Portugal never opened up despite wide attack style. LOW confidence + CT = confirmed skip.,When LOW data confidence AND counter-threat present — skip regardless of baseline and odds value,v4.1
008,024,2026-06-18,baseline_accuracy,"England wide possession vs Croatia deep block — 8 England corners, 10 total. HIGH confidence + no CT = clean Tier 2 validated.",HIGH data confidence + no counter-threat + wide possession vs deep block = reliable Tier 2 bet even at 1.900 odds,v4.1
009,025,2026-06-19,baseline_accuracy,"Czechia set-piece specialist underperformed expected corner output (5-5 split, 10 total vs 7.5 baseline). Despite going into game-management mode after an early goal, their set-piece/throw-in identity kept corners ticking even while chance creation flatlined. South Africa pushed numbers forward from ~60min chasing the equaliser, adding symmetric volume.","Set-piece specialist teams don t guarantee low corners if opponent presses well. Early goal + low chance-creation favourite does NOT suppress corners if (a) the favourite attack type is set-piece/throw-in based and (b) the trailing team pushes forward. Distinguish from blowout-via-central-scorer rule which only applies in comfortable multi-goal leads, not fragile 1-0.",v4.1
010,026,2026-06-19,baseline_accuracy,"Switzerland vs Bosnia: 10 corners (7-3), lean was Over (10.0 baseline), landed just under it. CT-driven Tier 3 demotion (edge 0.5 < 1.0) was the correct call - this was a genuine moderate, not strong, edge despite the eventual 4-1 scoreline. Goals exploding late (subs, red card, pen) did not translate into a corner explosion, because by that stage of the match the game was being decided by individual moments/chaos rather than sustained wide buildup play.","Late-match goal floods (multiple goals in final 15-20 mins via subs/red cards/chaos) do not retroactively inflate corner counts - corners are generated during sustained buildup phases, which by definition shrink once a match turns into transition/chaos football. Don't assume a one-sided final score implies a one-sided corner count.",v4.1
012,028,2026-06-19,skip_accuracy,"Canada vs Qatar: bet Over 9.5 @ 1.800 won (20 corners, 19-1). Pre-match the setup (wide_possession vs compact deep block, Canada at home needing points) was correctly identified as the strongest edge of the day, but odds sat at 1.800, below the 1.850 Tier 2 floor, so the model logged it as a skip in the briefing. The user placed the bet anyway and it won - the underlying read was right, the floor rule was just conservative here. Two red cards (34', 54') reducing Qatar to 9 men for over half the match turned a moderate edge into a 19-1 blowout that no pre-match model could size.","Odds-floor skips should be flagged as 'bet available, below floor' rather than blanket skips - track these separately from true no-edge skips, since a correct directional read at slightly-below-floor odds can still be a +EV bet the user chooses to take manually. The floor protects against forcing weak edges into bad prices, not against the user overriding on a strong directional read.",v4.1
013,036,2026-06-13,style_classification,Turkiye (8 corners) and Ecuador (5 corners) LOST despite winning corners battle. Australia and Ivory Coast won via clinical counter-attacking finishes with low own corner output. Dominant possession team losing does not suppress THEIR corners — it suppresses the opponent corners. Two independent matches confirm.,Separate corner output from match result. Counter_attacking winners have low corner output even when winning. Possession team losing still generates corners from buildup.,v4.2
014,038,2026-06-14,style_classification,Japan equalized vs Netherlands in 88th min DIRECTLY FROM A CORNER — Ogawa header off Ito corner deflected via Kamada. Confirms set_piece_specialist aerial-threat profile independently of base-rate corner count (Japan 4 corners vs Netherlands 5).,set_piece_specialist teams can produce match-decisive moments from corners even when overall corner count is moderate. Quality of corners matters as much as quantity.,v4.2
015,040,2026-06-14,game_state,Sweden 5-1 Tunisia with only 6 total corners (4-2). All 5 goals via individual quality and long-range strikes — none from wide crossing. Second independent confirmation of Argentina-Algeria lesson (4 corners in 3-0 blowout).,Central scorer blowout = low corners confirmed across multiple matches. Rule is robust — Argentina-Algeria (4 corners) Sweden-Tunisia (6 corners).,v4.2
016,041,2026-06-20,baseline_accuracy,"USA's corner output swung from 3 (MD1, scored via individual quality) to 7 (MD2, more sustained wide play vs a sitting-deep counter side) - n=1 averages for new teams are highly unstable even when the MD1 style read looked clean.","When a debut team's MD1 sample shows lower corners than their general attacking profile suggests, don't assume that rate repeats in MD2 against a different opponent shape.",v4.1
017,042,2026-06-20,skip_accuracy,"A large baseline-vs-line gap (here -3.5) can be trusted even at n=1 confidence when both teams' single-match profiles are 'normal' reliability (not outlier-flagged) and point the same direction with no counter-threat conflict. A one-tier demotion to tier_2 was the right call, not a full skip.","At LOW data confidence, an edge >=3.0 with no outlier flags on either team and no counter-threat conflict can stay actionable at tier_2 after demotion, rather than auto-skipping to tier_3.",v4.1
018,043,2026-06-20,game_state,"Brazil's blowout win did not inflate their corner count - 4 corners is well below their MD1 rate of 6.0, consistent with the blowout-eases-off rule even against a much weaker opponent.","Blowout-eases-off applies even in heavy mismatches, not just close games that turn into blowouts late - a bigger talent gap doesn't mean more corners.",v4.1
019,044,2026-06-20,style_classification,"Paraguay have produced 1 corner then 0 corners across two matches regardless of scoreline (lost 1-4, won 1-0) - looks like a confirmed low-output profile rather than a one-off outlier. Worth re-checking the low_sample_outlier flag once a 3rd match confirms the pattern.","A team producing near-zero corners across multiple matches regardless of result should be reclassified as a confirmed low-output profile, not discounted as an outlier.",v4.1
020,045,2026-06-21,game_state,"Fourth occurrence this tournament of a blowout winner taking fewer corners than the team being blown out (Australia/Turkiye/Paraguay pattern, now Netherlands/Sweden). This is recurring often enough to formalize rather than log as a one-off each time.","Consider adding an explicit rule: in a blowout where the favourite scores centrally/early, expect the LOSING team's corner count to meet or exceed the winner's, not just 'reduced corners for the winner' - this has now held in 4+ matches.",v4.1
021,046,2026-06-21,baseline_accuracy,"Pre-match research across multiple non-WC matches (not just the single WC sample) validated both teams' low-corner profiles ahead of the bet - and the result confirmed it. Worth formalizing: when n=1 WC data is backed by 2-3+ corroborating non-WC matches for the same team, treat as effectively upgraded confidence even before the official teams.csv backfill lands.",External multi-match research (non-tournament matches) can justify acting on an edge below the official odds floor when both the edge size and the data depth are unusually strong - this is the second floor-override of the tournament (after Canada-Qatar) and the second to pay off.,v4.1
022,047,2026-06-21,baseline_accuracy,"Whole-number lines carry real push risk when the edge is moderate rather than overwhelming - this landed exactly on 9.0. Ecuador's central_possession identity held again: 26 shots and 75% possession produced only 9 corners, consistent with the model's now-repeated finding that central teams underdeliver corners relative to territorial dominance.","On whole-number total lines with edge under 2.5-3.0, factor in push risk explicitly when sizing - a push isn't a loss but it also isn't the win the edge size might suggest.",v4.1
023,048,2026-06-21,market_selection,"CT correctly forbade AH (Ivory Coast's early goal would have flipped it, as the model predicted) but the skip-lean on the total market itself was too cautious - Germany's wide threats still generated 8 corners even while chasing a goal back, total landed well over.","Refine: CT should strongly forbid AH regardless of edge, but should only demote the TOTAL market tier when the edge is below ~1.0 - at edge >=1.5 with CT present, the total market read may survive even if AH doesn't. Needs more matches to confirm before changing Step 3 rules formally.",v4.1
024,049,2026-06-22,baseline_accuracy,"Largest nominal edge of the tournament so far (+4.15) still lost because the underlying scoring mechanism (individual quality vs crossing) overrode the aggregate corner-average edge. Group-stage context (no dead rubber, Spain motivated to respond to the shock draw) didn't help here - it's not a universal fix for thin data, just one more input.","Candidate: when an edge is large but driven by aggregate corner averages from unrelated opponents, weight 'how does the favourite typically score' (individual quality vs sustained wide play) at least as heavily as the raw edge size before trusting it at LOW data confidence - even when group-stage context looks favourable.",v4.1
025,050,2026-06-22,style_classification,"Egypt's counter-attacking goals came despite majority possession (56%) - a reminder that CT isn't just about low-possession teams, a team can dominate the ball and still win/score on isolated transitions, suppressing corners for both sides in the process.",,v4.1
026,051,2026-06-22,style_classification,"Uruguay are tagged central_possession, but produced 11 corners against a genuine pure_deep_block opponent (Cape Verde) - far closer to a wide_possession-style output than their style label suggests. This is the second signal (after early-tournament patterns) that the Tier 1 'wide possession only' requirement in Step 5 may be too narrow when the opponent is a true deep block.","Candidate: test relaxing Step 5 Tier 1 criteria to allow central_possession teams vs pure_deep_block opponents, not just wide_possession - needs 2-3 more cases before changing the actual rule.",v4.1
027,052,2026-06-22,game_state,"The matchup-logic concern we flagged (wide team vs deep block usually inflates corners) didn't materialize here - Belgium's wide threats were neutralised entirely, even playing extra time a man down. Worth tracking whether this was Iran-specific defensive discipline or a genuine exception to the wide_vs_deep pattern.",,v4.1
